CMDLINE C:\Users\jonah\PycharmProjects\WarrenNolanScraper_cloud\.venv\Scripts\python.exe main.py
MEM 48.058594 1737411833.6815
MEM 48.058594 1737411833.7820
MEM 48.058594 1737411833.8839
MEM 48.058594 1737411833.9848
MEM 48.058594 1737411834.0858
MEM 48.058594 1737411834.1865
MEM 48.058594 1737411834.2870
MEM 48.058594 1737411834.3874
MEM 48.058594 1737411834.4889
MEM 48.058594 1737411834.5897
MEM 48.058594 1737411834.6904
MEM 48.058594 1737411834.7908
MEM 48.058594 1737411834.8915
MEM 48.058594 1737411834.9920
MEM 48.058594 1737411835.0928
MEM 48.058594 1737411835.1933
MEM 48.058594 1737411835.2943
MEM 48.058594 1737411835.3948
MEM 48.058594 1737411835.4952
MEM 48.058594 1737411835.5959
MEM 48.058594 1737411835.6965
MEM 48.058594 1737411835.7973
MEM 48.058594 1737411835.8976
MEM 48.058594 1737411835.9984
MEM 48.058594 1737411836.0991
MEM 48.058594 1737411836.2000
MEM 48.058594 1737411836.3005
MEM 48.058594 1737411836.4011
MEM 48.058594 1737411836.5015
MEM 48.058594 1737411836.6025
MEM 48.058594 1737411836.7033
MEM 48.058594 1737411836.8043
MEM 48.058594 1737411836.9052
MEM 48.058594 1737411837.0059
MEM 48.058594 1737411837.1063
MEM 48.058594 1737411837.2067
MEM 48.058594 1737411837.3183
MEM 48.058594 1737411837.4189
MEM 48.058594 1737411837.5197
MEM 48.058594 1737411837.6205
MEM 48.058594 1737411837.7243
MEM 48.058594 1737411837.8248
MEM 48.058594 1737411837.9255
MEM 48.058594 1737411838.0260
MEM 48.058594 1737411838.1264
MEM 48.058594 1737411838.2271
MEM 48.058594 1737411838.3277
MEM 48.058594 1737411838.4286
MEM 48.058594 1737411838.5298
MEM 48.058594 1737411838.6302
MEM 48.058594 1737411838.7305
MEM 48.058594 1737411838.8312
MEM 48.058594 1737411838.9333
MEM 48.058594 1737411839.0337
MEM 48.058594 1737411839.1341
MEM 48.058594 1737411839.2345
MEM 48.058594 1737411839.3351
MEM 48.058594 1737411839.4356
MEM 48.058594 1737411839.5361
MEM 48.058594 1737411839.6369
MEM 48.058594 1737411839.7406
MEM 48.058594 1737411839.8410
MEM 48.058594 1737411839.9415
MEM 48.058594 1737411840.0419
MEM 48.058594 1737411840.1424
MEM 48.058594 1737411840.2430
MEM 48.058594 1737411840.3436
MEM 48.058594 1737411840.4443
MEM 48.058594 1737411840.5445
MEM 48.058594 1737411840.6448
MEM 48.058594 1737411840.7453
MEM 48.058594 1737411840.8457
MEM 48.058594 1737411840.9462
MEM 48.058594 1737411841.0467
MEM 48.058594 1737411841.1476
MEM 48.058594 1737411841.2484
MEM 48.058594 1737411841.3488
MEM 48.058594 1737411841.4496
MEM 48.058594 1737411841.5500
MEM 48.058594 1737411841.6506
MEM 48.058594 1737411841.7513
MEM 48.058594 1737411841.8522
MEM 48.058594 1737411841.9529
MEM 48.058594 1737411842.0538
MEM 48.058594 1737411842.1543
MEM 48.058594 1737411842.2550
MEM 48.058594 1737411842.3621
MEM 48.058594 1737411842.4627
MEM 48.058594 1737411842.5629
MEM 48.058594 1737411842.6633
MEM 48.058594 1737411842.7637
MEM 48.058594 1737411842.8640
MEM 48.058594 1737411842.9647
MEM 48.058594 1737411843.0659
MEM 48.058594 1737411843.1667
MEM 48.058594 1737411843.2671
MEM 48.058594 1737411843.3676
MEM 48.058594 1737411843.4680
MEM 48.058594 1737411843.5683
MEM 48.058594 1737411843.6686
MEM 48.058594 1737411843.7691
MEM 48.058594 1737411843.8699
MEM 48.058594 1737411843.9706
MEM 48.058594 1737411844.0713
MEM 48.058594 1737411844.1720
MEM 48.058594 1737411844.2727
MEM 48.058594 1737411844.3733
MEM 48.058594 1737411844.4740
MEM 48.058594 1737411844.5747
MEM 48.058594 1737411844.6749
MEM 48.058594 1737411844.7756
MEM 48.058594 1737411844.8760
MEM 48.058594 1737411844.9763
MEM 48.058594 1737411845.0775
MEM 48.058594 1737411845.1780
MEM 48.058594 1737411845.2784
MEM 48.058594 1737411845.3791
MEM 48.058594 1737411845.4795
MEM 48.058594 1737411845.5813
MEM 48.058594 1737411845.6819
MEM 48.058594 1737411845.7823
MEM 48.058594 1737411845.8844
MEM 48.058594 1737411845.9861
MEM 48.058594 1737411846.0866
MEM 48.058594 1737411846.1875
MEM 48.058594 1737411846.2921
MEM 48.058594 1737411846.3929
MEM 48.058594 1737411846.4970
MEM 48.058594 1737411846.5982
