CMDLINE C:\Users\jonah\PycharmProjects\WarrenNolanScraper_cloud\.venv\Scripts\python.exe main.py
MEM 1.687500 1737412136.9520
MEM 12.171875 1737412137.0522
MEM 19.632812 1737412137.1526
MEM 25.945312 1737412137.2532
MEM 30.925781 1737412137.3540
MEM 35.878906 1737412137.4546
MEM 39.425781 1737412137.5553
MEM 42.949219 1737412137.6732
MEM 43.222656 1737412137.7737
MEM 43.570312 1737412137.8743
MEM 48.101562 1737412137.9750
MEM 48.101562 1737412138.0759
MEM 48.101562 1737412138.1763
MEM 48.101562 1737412138.2821
MEM 48.101562 1737412138.3829
MEM 48.101562 1737412138.4906
MEM 48.101562 1737412138.5913
MEM 48.101562 1737412138.6941
MEM 48.101562 1737412138.7944
MEM 48.503906 1737412138.8953
MEM 48.503906 1737412138.9966
MEM 48.503906 1737412139.0973
MEM 48.503906 1737412139.1980
MEM 48.503906 1737412139.2985
MEM 48.503906 1737412139.3993
MEM 48.503906 1737412139.5003
MEM 48.503906 1737412139.6022
MEM 48.503906 1737412139.7035
MEM 48.503906 1737412139.8039
MEM 48.503906 1737412139.9043
MEM 48.503906 1737412140.0051
MEM 48.503906 1737412140.1228
MEM 48.503906 1737412140.2254
MEM 48.503906 1737412140.3259
MEM 48.503906 1737412140.4270
MEM 48.503906 1737412140.5277
MEM 48.503906 1737412140.6282
MEM 48.503906 1737412140.7287
MEM 48.503906 1737412140.8292
MEM 48.503906 1737412140.9298
MEM 48.503906 1737412141.0305
MEM 48.503906 1737412141.1309
MEM 48.503906 1737412141.2316
MEM 48.503906 1737412141.3319
MEM 48.503906 1737412141.4324
MEM 48.503906 1737412141.5329
MEM 48.503906 1737412141.6336
MEM 48.503906 1737412141.7342
MEM 48.503906 1737412141.8357
MEM 48.503906 1737412141.9369
MEM 48.503906 1737412142.0375
MEM 48.503906 1737412142.1384
MEM 48.503906 1737412142.2389
MEM 48.503906 1737412142.3393
MEM 48.503906 1737412142.4395
MEM 48.503906 1737412142.5401
MEM 48.503906 1737412142.6404
MEM 48.503906 1737412142.7407
MEM 48.503906 1737412142.8414
MEM 48.503906 1737412142.9421
MEM 48.503906 1737412143.0428
MEM 48.503906 1737412143.1435
MEM 48.503906 1737412143.2516
MEM 48.503906 1737412143.3538
MEM 48.503906 1737412143.4549
MEM 48.503906 1737412143.5632
MEM 48.503906 1737412143.6685
MEM 48.503906 1737412143.7767
MEM 48.503906 1737412143.8775
MEM 48.503906 1737412143.9781
MEM 48.503906 1737412144.0790
MEM 48.503906 1737412144.1796
MEM 48.503906 1737412144.2802
MEM 48.503906 1737412144.3807
MEM 48.503906 1737412144.4815
MEM 48.503906 1737412144.5822
MEM 48.503906 1737412144.6829
MEM 48.503906 1737412144.7837
MEM 48.503906 1737412144.8843
MEM 48.503906 1737412144.9850
MEM 48.503906 1737412145.0855
MEM 48.503906 1737412145.1860
MEM 48.503906 1737412145.2862
MEM 48.503906 1737412145.3869
MEM 48.503906 1737412145.4873
MEM 48.503906 1737412145.5876
MEM 48.503906 1737412145.6881
MEM 48.503906 1737412145.7894
